X,Y,id,left,top,right,bottom,row_index,col_index
12.625,35.875,18130,12.625,35.875,12.75,36,81,141
12.625,35.625,18132,12.625,35.625,12.75,35.75,83,141
12.75,36.0,18257,12.75,36,12.875,36.125,80,142
12.75,35.875,18258,12.75,35.875,12.875,36,81,142
12.75,35.75,18259,12.75,35.75,12.875,35.875,82,142
12.75,35.625,18260,12.75,35.625,12.875,35.75,83,142
12.75,35.5,18261,12.75,35.5,12.875,35.625,84,142
12.875,36.0,18385,12.875,36,13,36.125,80,143
12.875,35.75,18387,12.875,35.75,13,35.875,82,143
12.875,35.5,18389,12.875,35.5,13,35.625,84,143
13,36,18513,13,36,13.125,36.125,80,144
13.0,35.875,18514,13,35.875,13.125,36,81,144
13.0,35.75,18515,13,35.75,13.125,35.875,82,144
13.125,37.25,18631,13.125,37.25,13.25,37.375,70,145
13.125,35.875,18642,13.125,35.875,13.25,36,81,145
13.25,37.25,18759,13.25,37.25,13.375,37.375,70,146
13.375,37.25,18887,13.375,37.25,13.5,37.375,70,147
13.375,37.125,18888,13.375,37.125,13.5,37.25,71,147
35.125,33.5,41189,35.125,33.5,35.25,33.625,100,321
35.125,33.375,41190,35.125,33.375,35.25,33.5,101,321
35.125,33.25,41191,35.125,33.25,35.25,33.375,102,321
35.125,33.125,41192,35.125,33.125,35.25,33.25,103,321
35.25,33.875,41314,35.25,33.875,35.375,34,97,322
35.25,33.75,41315,35.25,33.75,35.375,33.875,98,322
35.25,33.625,41316,35.25,33.625,35.375,33.75,99,322
35.25,33.5,41317,35.25,33.5,35.375,33.625,100,322
35.375,34.0,41441,35.375,34,35.5,34.125,96,323
35.375,33.875,41442,35.375,33.875,35.5,34,97,323
35.375,33.75,41443,35.375,33.75,35.5,33.875,98,323
35.375,33.625,41444,35.375,33.625,35.5,33.75,99,323
35.5,34.375,41566,35.5,34.375,35.625,34.5,93,324
35.5,34.25,41567,35.5,34.25,35.625,34.375,94,324
35.5,34.125,41568,35.5,34.125,35.625,34.25,95,324
35.5,34.0,41569,35.5,34,35.625,34.125,96,324
35.625,34.625,41692,35.625,34.625,35.75,34.75,91,325
35.625,34.5,41693,35.625,34.5,35.75,34.625,92,325
35.625,34.375,41694,35.625,34.375,35.75,34.5,93,325
35.625,34.25,41695,35.625,34.25,35.75,34.375,94,325
35.625,34.125,41696,35.625,34.125,35.75,34.25,95,325
35.625,34.0,41697,35.625,34,35.75,34.125,96,325
35.75,34.625,41820,35.75,34.625,35.875,34.75,91,326
35.75,34.5,41821,35.75,34.5,35.875,34.625,92,326
35.875,34.625,41948,35.875,34.625,36,34.75,91,327
35.875,34.5,41949,35.875,34.5,36,34.625,92,327
7.5,43.75,12819,7.5,43.75,7.625,43.875,18,100
-1,35.75,4179,-1,35.75,-0.875,35.875,82,32
-0.875,35.75,4307,-0.875,35.75,-0.75,35.875,82,33
-2,36.875,3146,-2,36.875,-1.875,37,73,24
-2,36.75,3147,-2,36.75,-1.875,36.875,74,24
-1.875,37.0,3273,-1.875,37,-1.75,37.125,72,25
-1.875,36.875,3274,-1.875,36.875,-1.75,37,73,25
-1.875,36.75,3275,-1.875,36.75,-1.75,36.875,74,25
-1.75,37.25,3399,-1.75,37.25,-1.625,37.375,70,26
-1.75,37.125,3400,-1.75,37.125,-1.625,37.25,71,26
-1.75,37.0,3401,-1.75,37,-1.625,37.125,72,26
-1.75,36.875,3402,-1.75,36.875,-1.625,37,73,26
-1.625,37.375,3526,-1.625,37.375,-1.5,37.5,69,27
-1.625,37.25,3527,-1.625,37.25,-1.5,37.375,70,27
-1.625,37.125,3528,-1.625,37.125,-1.5,37.25,71,27
-1.625,37.0,3529,-1.625,37,-1.5,37.125,72,27
-1.5,37.375,3654,-1.5,37.375,-1.375,37.5,69,28
-1.5,37.25,3655,-1.5,37.25,-1.375,37.375,70,28
-1.375,37.5,3781,-1.375,37.5,-1.25,37.625,68,29
-1.375,37.375,3782,-1.375,37.375,-1.25,37.5,69,29
-1.375,37.25,3783,-1.375,37.25,-1.25,37.375,70,29
-1.25,37.5,3909,-1.25,37.5,-1.125,37.625,68,30
-1.25,37.375,3910,-1.25,37.375,-1.125,37.5,69,30
-1.125,37.5,4037,-1.125,37.5,-1,37.625,68,31
-1.125,37.375,4038,-1.125,37.375,-1,37.5,69,31
-1,37.5,4165,-1,37.5,-0.875,37.625,68,32
-1,37.375,4166,-1,37.375,-0.875,37.5,69,32
-0.875,37.5,4293,-0.875,37.5,-0.75,37.625,68,33
-0.875,37.375,4294,-0.875,37.375,-0.75,37.5,69,33
-0.75,37.875,4418,-0.75,37.875,-0.625,38,65,34
-0.75,37.75,4419,-0.75,37.75,-0.625,37.875,66,34
